team,gk_lb_per_match,gk_completion,gk_attempts,gk_completion_pct,cluster,max_stage
Algeria,7.5,13,30,43.333333333333336,0,2
Argentina,10.666666666666666,29,64,45.3125,0,5
Australia,13.5,20,54,37.03703703703704,1,2
Austria,6.5,11,26,42.30769230769231,3,2
Belgium,13.0,34,78,43.58974358974359,3,4
Bosnia and Herzegovina,15.5,18,62,29.032258064516128,3,2
Brazil,6.8,14,34,41.1764705882353,3,3
Cabo Verde,20.25,44,81,54.32098765432099,1,2
Canada,7.8,13,39,33.333333333333336,2,3
Colombia,11.2,20,56,35.714285714285715,3,3
Congo DR,12.75,14,51,27.45098039215686,1,2
Croatia,11.0,17,44,38.63636363636363,3,2
Curaçao,16.666666666666668,16,50,32.0,1,1
Czechia,16.0,17,48,35.416666666666664,1,1
Côte d'Ivoire,15.25,32,61,52.459016393442624,0,2
Ecuador,13.25,21,53,39.62264150943396,2,2
Egypt,8.6,21,43,48.83720930232558,3,3
England,15.0,45,90,50.0,0,5
France,7.833333333333333,23,47,48.93617021276596,0,5
Germany,9.0,26,36,72.22222222222223,0,2
Ghana,8.75,14,35,40.0,1,2
Haiti,17.0,18,51,35.294117647058826,3,1
IR Iran,16.333333333333332,24,49,48.97959183673469,1,1
Iraq,15.0,18,45,40.0,1,1
Japan,12.0,21,48,43.75,3,2
Jordan,11.666666666666666,12,35,34.285714285714285,1,1
Mexico,13.4,41,67,61.19402985074627,3,3
Morocco,10.666666666666666,12,64,18.75,0,4
Netherlands,11.25,18,45,40.0,3,2
New Zealand,14.0,22,42,52.38095238095238,1,1
Norway,21.333333333333332,70,128,54.6875,3,4
Panama,14.666666666666666,18,44,40.90909090909091,1,1
Paraguay,22.6,40,113,35.39823008849557,1,3
Portugal,7.2,16,36,44.44444444444444,0,3
Qatar,17.333333333333332,14,52,26.923076923076923,1,1
Saudi Arabia,14.666666666666666,14,44,31.818181818181817,3,1
Scotland,15.333333333333334,24,46,52.17391304347826,1,1
Senegal,15.75,31,63,49.20634920634921,0,2
South Africa,20.75,34,83,40.963855421686745,3,2
South Korea,13.0,12,39,30.76923076923077,3,1
Spain,9.833333333333334,35,59,59.32203389830509,0,5
Sweden,17.75,25,71,35.2112676056338,3,2
Switzerland,13.5,30,81,37.03703703703704,0,4
Tunisia,13.666666666666666,14,41,34.146341463414636,1,1
Türkiye,9.0,11,27,40.74074074074074,2,1
USA,9.8,16,49,32.6530612244898,2,3
Uruguay,7.333333333333333,11,22,50.0,2,1
Uzbekistan,13.666666666666666,11,41,26.829268292682926,1,1
