team,jersey,player,lb_attempted,lb_completed,through,around,over,via_pass,via_cross,via_carry,dir_sum_ok,match_number,header
Mexico,1,Raul RANGEL,13,10,1,0,12,13,0,0,1,1,IN POSSESSION
Mexico,3,Cesar MONTES,17,12,5,3,9,16,1,0,1,1,IN POSSESSION
Mexico,5,Johan VASQUEZ,16,13,1,12,3,14,0,2,1,1,IN POSSESSION
Mexico,6,Erik LIRA,11,10,6,3,2,11,0,0,1,1,IN POSSESSION
Mexico,8,Alvaro FIDALGO,7,4,3,2,2,7,0,0,1,1,IN POSSESSION
Mexico,9,Raul JIMENEZ,3,2,1,1,1,3,0,0,1,1,IN POSSESSION
Mexico,15,Israel REYES,13,9,4,4,5,12,1,0,1,1,IN POSSESSION
Mexico,16,Julian QUINONES,12,12,7,4,1,10,0,2,1,1,IN POSSESSION
Mexico,23,Jesus GALLARDO,10,5,1,3,6,9,0,1,1,1,IN POSSESSION
Mexico,25,Roberto ALVARADO,11,8,3,3,5,8,2,1,1,1,IN POSSESSION
Mexico,26,Brian GUTIERREZ,6,5,2,2,2,6,0,0,1,1,IN POSSESSION
Mexico,4,Edson ALVAREZ,5,5,1,2,2,5,0,0,1,1,IN POSSESSION
Mexico,10,Alexis VEGA,1,0,0,1,0,0,0,1,1,1,IN POSSESSION
Mexico,14,Armando GONZALEZ,0,0,0,0,0,0,0,0,1,1,IN POSSESSION
Mexico,19,Gilberto MORA,3,2,0,2,1,2,0,1,1,1,IN POSSESSION
Mexico,24,Luis CHAVEZ,8,8,1,6,1,8,0,0,1,1,IN POSSESSION
South Africa,1,Ronwen WILLIAMS,18,9,2,2,14,18,0,0,1,1,IN POSSESSION
South Africa,4,Teboho MOKOENA,13,11,5,6,2,12,1,0,1,1,IN POSSESSION
South Africa,6,Aubrey MODIBA,4,1,1,2,1,2,1,1,1,1,IN POSSESSION
South Africa,9,Lyle FOSTER,1,0,0,1,0,1,0,0,1,1,IN POSSESSION
South Africa,13,Sphephelo SITHOLE,2,2,1,1,0,2,0,0,1,1,IN POSSESSION
South Africa,14,Mbekezeli MBOKAZI,8,3,0,2,6,6,2,0,1,1,IN POSSESSION
South Africa,15,Iqraam RAYNERS,2,0,0,2,0,1,1,0,1,1,IN POSSESSION
South Africa,19,Nkosinathi SIBISI,21,14,2,9,10,21,0,0,1,1,IN POSSESSION
South Africa,20,Khuliso MUDAU,7,4,4,2,1,6,0,1,1,1,IN POSSESSION
South Africa,21,Ime OKON,7,6,2,1,4,7,0,0,1,1,IN POSSESSION
South Africa,23,Jayden ADAMS,8,4,3,3,2,8,0,0,1,1,IN POSSESSION
South Africa,5,Thalente MBATHA,1,1,1,0,0,1,0,0,1,1,IN POSSESSION
South Africa,7,Oswin APPOLLIS,2,1,1,0,1,2,0,0,1,1,IN POSSESSION
South Africa,11,Themba ZWANE,2,1,0,1,1,2,0,0,1,1,IN POSSESSION
South Africa,17,Evidence MAKGOPA,0,0,0,0,0,0,0,0,1,1,IN POSSESSION
Korea Republic,1,KIM Seunggyu,17,6,1,0,16,17,0,0,1,2,IN POSSESSION
Korea Republic,2,LEE Hanbeom,14,11,1,6,7,14,0,0,1,2,IN POSSESSION
Korea Republic,3,LEE Gihyuk,14,13,2,9,3,13,0,1,1,2,IN POSSESSION
Korea Republic,4,KIM Minjae,7,6,4,2,1,6,0,1,1,2,IN POSSESSION
Korea Republic,6,HWANG Inbeom,15,11,9,4,2,14,0,1,1,2,IN POSSESSION
Korea Republic,7,SON Heungmin,5,3,1,3,1,4,1,0,1,2,IN POSSESSION
Korea Republic,8,PAIK Seungho,14,12,6,5,3,14,0,0,1,2,IN POSSESSION
Korea Republic,10,LEE Jaesung,4,2,2,0,2,4,0,0,1,2,IN POSSESSION
Korea Republic,13,LEE Taeseok,10,8,1,3,6,9,1,0,1,2,IN POSSESSION
Korea Republic,19,LEE Kangin,11,11,3,4,4,10,0,1,1,2,IN POSSESSION
Korea Republic,22,SEOL Youngwoo,6,4,3,0,3,5,1,0,1,2,IN POSSESSION
Korea Republic,11,HWANG Heechan,1,1,0,1,0,1,0,0,1,2,IN POSSESSION
Korea Republic,16,PARK Jinseob,2,1,1,1,0,2,0,0,1,2,IN POSSESSION
Korea Republic,18,OH Hyeongyu,1,0,0,0,1,1,0,0,1,2,IN POSSESSION
Korea Republic,24,KIM Jingyu,1,1,0,1,0,1,0,0,1,2,IN POSSESSION
Korea Republic,25,EOM Jisung,2,2,0,1,1,1,0,1,1,2,IN POSSESSION
