minute,player,outcome,is_goal,delivery,match_number,team,header
3,Brian GUTIERREZ,Incomplete - Blocked,0,Freekick,1,Mexico,IN POSSESSION
4,Raul JIMENEZ,On Target - Saved,0,Cross,1,Mexico,IN POSSESSION
8,Julian QUINONES,On Target - Goal,1,Loose Ball,1,Mexico,IN POSSESSION
12,Raul JIMENEZ,Off Target,0,Corner,1,Mexico,IN POSSESSION
19,Julian QUINONES,Off Target,0,Pass,1,Mexico,IN POSSESSION
29,Brian GUTIERREZ,Incomplete - Blocked,0,Pass,1,Mexico,IN POSSESSION
41,Julian QUINONES Deflected,Off Target,0,Other,1,Mexico,IN POSSESSION
41,Julian QUINONES,Off Target,0,Pass,1,Mexico,IN POSSESSION
46,Jesus GALLARDO Deflected,Off Target,0,Pass,1,Mexico,IN POSSESSION
48,Brian GUTIERREZ,Off Target,0,Pass,1,Mexico,IN POSSESSION
45,Brian GUTIERREZ,Off Target,0,Loose Ball,1,Mexico,IN POSSESSION
51,Raul JIMENEZ,Incomplete - Blocked,0,Freekick,1,Mexico,IN POSSESSION
51,Jesus GALLARDO,Off Target,0,Pass,1,Mexico,IN POSSESSION
57,Israel REYES,Incomplete,0,Freekick,1,Mexico,IN POSSESSION
66,Raul JIMENEZ,On Target - Goal,1,Cross,1,Mexico,IN POSSESSION
37,Lyle FOSTER,Off Target,0,Pass,1,South Africa,IN POSSESSION
44,Mbekezeli MBOKAZI,On Target - Saved,0,Loose Ball,1,South Africa,IN POSSESSION
55,Aubrey MODIBA,On Target - Saved,0,Pass,1,South Africa,IN POSSESSION
11,SON Heungmin Deflected,Off Target,0,Pass,2,Korea Republic,IN POSSESSION
11,LEE Hanbeom,Off Target,0,Cross,2,Korea Republic,IN POSSESSION
13,LEE Kangin,On Target - Saved,0,Pass,2,Korea Republic,IN POSSESSION
13,SON Heungmin,Incomplete - Blocked,0,Cross,2,Korea Republic,IN POSSESSION
37,SON Heungmin,Off Target,0,Pass,2,Korea Republic,IN POSSESSION
38,SON Heungmin,Off Target,0,Pass,2,Korea Republic,IN POSSESSION
46,SON Heungmin,Incomplete,0,Cross,2,Korea Republic,IN POSSESSION
47,HWANG Inbeom,Off Target,0,Pass,2,Korea Republic,IN POSSESSION
48,HWANG Inbeom,On Target - Saved,0,Pass,2,Korea Republic,IN POSSESSION
48,LEE Jaesung,On Target - Saved,0,Other,2,Korea Republic,IN POSSESSION
55,SON Heungmin,On Target - Saved,0,Pass,2,Korea Republic,IN POSSESSION
66,HWANG Inbeom,On Target - Goal,1,Pass,2,Korea Republic,IN POSSESSION
79,OH Hyeongyu,On Target - Goal,1,Cross,2,Korea Republic,IN POSSESSION
93,KIM Jingyu,Incomplete - Blocked,0,Pass,2,Korea Republic,IN POSSESSION
21,Tomas SOUCEK,Off Target,0,Corner,2,Czechia,IN POSSESSION
31,Pavel SULC,Off Target,0,Loose Ball,2,Czechia,IN POSSESSION
58,Ladislav KREJCI,On Target - Goal,1,Other,2,Czechia,IN POSSESSION
81,Adam HLOZEK,On Target - Saved,0,Loose Ball,2,Czechia,IN POSSESSION
92,Michal SADILEK,On Target - Saved,0,Pass,2,Czechia,IN POSSESSION
93,Adam HLOZEK,Incomplete,0,Cross,2,Czechia,IN POSSESSION
16,Jonathan DAVID,On Target - Saved,0,Loose Ball,3,Canada,IN POSSESSION
27,Jonathan DAVID,Incomplete - Blocked,0,Pass,3,Canada,IN POSSESSION
29,Ismael KONE,Incomplete - Blocked,0,Freekick,3,Canada,IN POSSESSION
31,Tani OLUWASEYI,Off Target,0,Pass,3,Canada,IN POSSESSION
37,Jonathan DAVID Deflected,Off Target,0,Loose Ball,3,Canada,IN POSSESSION
48,Alistair JOHNSTON Deflected,Off Target,0,Other,3,Canada,IN POSSESSION
48,Derek CORNELIUS,Off Target,0,Corner,3,Canada,IN POSSESSION
52,Richie LARYEA,On Target - Saved,0,Pass,3,Canada,IN POSSESSION
64,Stephen EUSTAQUIO,Off Target,0,Pass,3,Canada,IN POSSESSION
65,Tani OLUWASEYI,On Target - Goal,1,Cross,3,Canada,IN POSSESSION
78,Cyle LARIN Deflected,On Target - Goal,1,Pass,3,Canada,IN POSSESSION
95,Cyle LARIN,Incomplete - Blocked,0,Pass,3,Canada,IN POSSESSION
2,Amar MEMIC,Off Target,0,Loose Ball,3,Bosnia and Herzegovina,IN POSSESSION
4,Jovo LUKIC,Off Target,0,Cross,3,Bosnia and Herzegovina,IN POSSESSION
12,Jovo LUKIC,On Target - Saved,0,Freekick,3,Bosnia and Herzegovina,IN POSSESSION
20,Jovo LUKIC,On Target - Goal,1,Pass,3,Bosnia and Herzegovina,IN POSSESSION
43,Benjamin TAHIROVIC,Off Target,0,Loose Ball,3,Bosnia and Herzegovina,IN POSSESSION
45,Ermedin DEMIROVIC,On Target - Saved,0,Pass,3,Bosnia and Herzegovina,IN POSSESSION
58,Tarik MUHAREMOVIC,Off Target,0,Corner,3,Bosnia and Herzegovina,IN POSSESSION
84,Dzenis BURNIC,Incomplete,0,Loose Ball,3,Bosnia and Herzegovina,IN POSSESSION
2,Folarin BALOGUN Deflected,On Target - Saved,0,Pass,4,USA,IN POSSESSION
30,Folarin BALOGUN,On Target - Goal,1,Pass,4,USA,IN POSSESSION
34,Folarin BALOGUN,Incomplete,0,Cross,4,USA,IN POSSESSION
36,Malik TILLMAN Deflected,Off Target,0,Loose Ball,4,USA,IN POSSESSION
37,Chris RICHARDS,Off Target,0,Corner,4,USA,IN POSSESSION
42,Malik TILLMAN,On Target - Saved,0,Loose Ball,4,USA,IN POSSESSION
46,Folarin BALOGUN,Incomplete - Blocked,0,Other,4,USA,IN POSSESSION
56,Malik TILLMAN,Incomplete - Blocked,0,Pass,4,USA,IN POSSESSION
60,Malik TILLMAN,Off Target,0,Loose Ball,4,USA,IN POSSESSION
74,Malik TILLMAN,On Target - Saved,0,Pass,4,USA,IN POSSESSION
88,Ricardo PEPI,Off Target,0,Pass,4,USA,IN POSSESSION
89,Sebastian BERHALTER,Off Target,0,Other,4,USA,IN POSSESSION
96,Timothy WEAH,Incomplete - Blocked,0,Pass,4,USA,IN POSSESSION
1,Diego GOMEZ,Off Target,0,Pass,4,Paraguay,IN POSSESSION
64,Diego GOMEZ,Off Target,0,Pass,4,Paraguay,IN POSSESSION
70,Miguel ALMIRON,Incomplete - Blocked,0,Other,4,Paraguay,IN POSSESSION
72,MAURICIO,On Target - Goal,1,Pass,4,Paraguay,IN POSSESSION
10,Jean-Ricner BELLEGARDE,Off Target,0,Pass,5,Haiti,IN POSSESSION
12,Wilson ISIDOR,Incomplete - Blocked,0,Pass,5,Haiti,IN POSSESSION
33,Ricardo ADE,Incomplete,0,Freekick,5,Haiti,IN POSSESSION
33,Ruben PROVIDENCE,On Target - Saved,0,Pass,5,Haiti,IN POSSESSION
33,Frantzdy PIERROT,Incomplete - Blocked,0,Other,5,Haiti,IN POSSESSION
35,Wilson ISIDOR,Off Target,0,Freekick,5,Haiti,IN POSSESSION
41,Jean-Ricner BELLEGARDE,Off Target,0,Pass,5,Haiti,IN POSSESSION
72,Ruben PROVIDENCE,Off Target,0,Loose Ball,5,Haiti,IN POSSESSION
77,Jean-Ricner BELLEGARDE,Incomplete - Blocked,0,Pass,5,Haiti,IN POSSESSION
78,Ruben PROVIDENCE Deflected,Off Target,0,Loose Ball,5,Haiti,IN POSSESSION
84,Frantzdy PIERROT,Off Target,0,Cross,5,Haiti,IN POSSESSION
93,Frantzdy PIERROT,On Target - Saved,0,Pass,5,Haiti,IN POSSESSION
96,Martin EXPERIENCE,Off Target,0,Pass,5,Haiti,IN POSSESSION
3,Lawrence SHANKLAND,Incomplete - Blocked,0,Pass,5,Scotland,IN POSSESSION
6,Scott McTOMINAY,Off Target,0,Cross,5,Scotland,IN POSSESSION
16,Scott McTOMINAY,Off Target,0,Pass,5,Scotland,IN POSSESSION
27,Che ADAMS,On Target - Saved,0,Cross,5,Scotland,IN POSSESSION
27,John McGINN Deflected,On Target - Goal,1,Other,5,Scotland,IN POSSESSION
31,Lawrence SHANKLAND,Off Target,0,Cross,5,Scotland,IN POSSESSION
54,Ben GANNONDOAK Deflected,Off Target,0,Cross,5,Scotland,IN POSSESSION
72,John McGINN,Off Target,0,Pass,5,Scotland,IN POSSESSION
16,Alessandro CIRCATI,Off Target,0,Corner,6,Australia,IN POSSESSION
38,Jordan BOS,Off Target,0,Other,6,Australia,IN POSSESSION
47,Jordan BOS Deflected,Off Target,0,Pass,6,Australia,IN POSSESSION
48,Jacob ITALIANO,Off Target,0,Pass,6,Australia,IN POSSESSION
53,Harry SOUTTAR,On Target - Saved,0,Corner,6,Australia,IN POSSESSION
53,Mohamed TOURE,Incomplete - Blocked,0,Cross,6,Australia,IN POSSESSION
74,Connor METCALFE,On Target - Goal,1,Loose Ball,6,Australia,IN POSSESSION
2,Hakan CALHANOGLU Deflected,Off Target,0,Pass,6,Türkiye,IN POSSESSION
3,Ismail YUKSEK Deflected,Off Target,0,Corner,6,Türkiye,IN POSSESSION
6,Arda GULER,Off Target,0,Pass,6,Türkiye,IN POSSESSION
18,Ferdi KADIOGLU,Off Target,0,Pass,6,Türkiye,IN POSSESSION
26,Arda GULER,On Target - Saved,0,Loose Ball,6,Türkiye,IN POSSESSION
29,Abdulkerim BARDAKCI,Off Target,0,Loose Ball,6,Türkiye,IN POSSESSION
29,Hakan CALHANOGLU,Off Target,0,Pass,6,Türkiye,IN POSSESSION
35,Orkun KOKCU,Off Target,0,Pass,6,Türkiye,IN POSSESSION
41,Arda GULER,Off Target,0,Pass,6,Türkiye,IN POSSESSION
45,Hakan CALHANOGLU,On Target - Saved,0,Pass,6,Türkiye,IN POSSESSION
