match_number,header,team,opponent,side,possession_pct,contested_pct,goals,xg,attempts,on_target,passes,passes_complete,pass_completion_pct,line_breaks,def_line_breaks,final_third_receptions,crosses,progressions,pressures,direct_pressures,forced_turnovers,second_balls,distance_km,press_duration_s,recovery_time_s,push_into_press,press_inside,press_outside
1,11 June 2026 - Mexico City Stadium - 13:00,Mexico,South Africa,home,57.1,6.8,2.0,1.78,16.0,4.0,547.0,495.0,90.0,105.0,10.0,117.0,13.0,23.0,170.0,26.0,31.0,56.0,107.3,1.57,14.38,79.0,29.0,96.0
1,11 June 2026 - Mexico City Stadium - 13:00,South Africa,Mexico,away,36.1,6.8,0.0,0.1,3.0,2.0,351.0,290.0,83.0,57.0,3.0,36.0,8.0,8.0,306.0,45.0,32.0,45.0,97.1,1.43,22.45,141.0,54.0,168.0
2,11 June 2026 - Guadalajara Stadium - 20:00,South Korea,Czechia,home,55.8,10.1,2.0,1.77,15.0,6.0,542.0,483.0,89.0,92.0,10.0,125.0,17.0,27.0,147.0,22.0,30.0,49.0,111.8,1.7,12.78,57.0,23.0,77.0
2,11 June 2026 - Guadalajara Stadium - 20:00,Czechia,South Korea,away,34.2,10.1,1.0,0.64,7.0,4.0,327.0,241.0,74.0,54.0,5.0,77.0,15.0,10.0,301.0,54.0,40.0,78.0,117.6,1.61,18.42,138.0,41.0,175.0
3,12 June 2026 - Toronto Stadium - 15:00,Canada,Bosnia and Herzegovina,home,52.8,17.3,1.0,1.49,13.0,4.0,412.0,316.0,77.0,84.0,16.0,143.0,30.0,30.0,160.0,38.0,50.0,94.0,111.3,1.33,8.51,65.0,24.0,87.0
3,12 June 2026 - Toronto Stadium - 15:00,Bosnia and Herzegovina,Canada,away,29.9,17.3,1.0,0.76,8.0,3.0,279.0,186.0,67.0,61.0,4.0,51.0,8.0,22.0,203.0,35.0,51.0,79.0,109.5,1.49,12.03,81.0,33.0,100.0
4,12 June 2026 - Los Angeles Stadium - 18:00,USA,Paraguay,home,59.5,11.8,4.0,1.88,16.0,6.0,602.0,520.0,86.0,129.0,25.0,201.0,23.0,52.0,204.0,39.0,50.0,101.0,119.9,1.37,11.23,96.0,32.0,114.0
4,12 June 2026 - Los Angeles Stadium - 18:00,Paraguay,USA,away,28.7,11.8,1.0,0.6,9.0,1.0,316.0,234.0,74.0,53.0,3.0,31.0,5.0,17.0,360.0,75.0,49.0,55.0,114.3,1.47,17.37,169.0,47.0,233.0
5,13 June 2026 - Boston Stadium - 21:00,Haiti,Scotland,home,51.6,7.9,0.0,0.7,15.0,2.0,431.0,378.0,88.0,84.0,4.0,116.0,26.0,24.0,185.0,35.0,29.0,53.0,113.7,1.52,14.86,79.0,29.0,108.0
5,13 June 2026 - Boston Stadium - 21:00,Scotland,Haiti,away,40.5,7.9,1.0,0.91,9.0,2.0,397.0,324.0,82.0,86.0,6.0,77.0,16.0,21.0,230.0,39.0,35.0,52.0,117.6,1.85,21.55,99.0,33.0,150.0
